token_address,vol_24h,early_velocity_ratio,early_trade_dominance
0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0,0,
0x4200000623d0242cccd4e907008583dcb4af6472,917792.5824920044,0.14363479019217087,0.007664647319544167
0xf8ea18ca502de3ffaa9b8ed95a21878ee41a2f4a,4008135.2510173265,0.09310580910323323,0.003664284281891992
0x2f1ec8cc5926b4974840c8ec9e462359c6591282,3603743.7628378095,0.7042071375892541,0.006808509947407124
0xef2291759bd1ad57d6f5492b16263a248babdc07,2396316.1299244924,0.976700252914807,0.004258320823820487
0xa807ae4d4e2d5a4e1a56ae4150ee33016e3133c4,2792455.406648446,1,0.4969784124470477
0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,0,0,
0xe1be424f442d0687129128c6c38aace44f8c8dbc,1948535.71667033,0.6334889838668722,0.012290182803234982
0xe7c3d8c9a439fede00d2600032d5db0be71c3c29,11217.778189559398,0.0020175097457658664,0.2357957953439595
0x81987681443c156f881b70875724cc78b08ada26,2739205.626554285,0.23157361916278915,0.002852272178568835
0xe778fd9a8d074e4a808092896b33fe3d3452c125,65766.81366925479,0.0027702049666191125,0.017772384760835713
0x0d86883faf4ffd7aeb116390af37746f45b6f378,0,0,
0x7a379b93914f85e3369a00195ce58e021abb15ee,2143648.754732213,0.9999973423339648,0.0408604829088234
0xf34311b8d96ec0647a31ef9e0abf12d7442580a8,1628717.1828897332,0.4423955706130686,0.0024723106486508975
0xf8173a39c56a554837c4c7f104153a005d284d11,0,0,
0x129e5915326ed86f831b0e035acda34b209633d5,0,0,
0x0d37af9d8ae74f35f3a38bd2a08fcb29890ca6d2,274316.087831849,0.044985579165570264,0.0943301156375176
0xb9acf0379716b3d2fef6474b0108c055e864181e,3137784.8048349554,0.999937854192982,0.02852196683922041
0xd54dfc4e1d84ca093b9b58b0439d47bb45f75cf1,0,0,
0x4ba2f595539bd3e9b1675bc3a337497890e8a70e,9947262.008528266,0.9934315804859314,0.0016696702100636176
0x98dec6393641920ac64a6a63ba79628f883220c6,7026037.43400253,1,0.016275390401661004
0xd86571bfb6753c252764c4ae37fd54888774d32e,1113346.767648899,0.2388818315297838,0.018406810915231313
0xa2188f44f0d265558c615aae242400923f9aa1d4,8976078.276394373,0.5764256480387709,0.002865181601405364
0x4f1de50df2e372b46e73e5f9d19a8a5187b57401,3159499.922556449,0.9999989912465347,0.03629837263233958
0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0,0,
0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,0,0,
0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,0,0,
0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,0,0,
0x8390a1da07e376ef7add4be859ba74fb83aa02d5,0,0,
0xfb782396c9b20e564a64896181c7ac8d8979d5f4,0,0,
0x7c6a582084510534ae184cf5a8de26efb28a1738,10079324.065946404,0.7956644752813792,0.004120064026458338
0x701cd4acb175d359284d5a935c9c4d2fd9293f0f,2043865.057857992,1,0.036687444370636126
