token_address,token_symbol,volume_spike_ratio,absolute_max_daily_volume_usd,total_days_traded,max_trade_dominance,early_velocity_ratio,early_trade_dominance,has_temporal_data,iso_score,iso_flag,dbscan_flag,mahalanobis_dist,pca_flag,consensus_votes,suspicion_score,btc_contamination_score,PCA1,PCA2,PCA3,taxonomy,confidence,is_fraud,is_anomaly_expected,is_validated
0x53e350e6f53dff77bf9294a9ad1112ca2feb5f7d,FOMO,1.0,7976900.323890517,1,0.9999949449173388,1.0,0.9999949449173388,True,-0.19645867842573483,True,True,10.821081169263826,True,3,1.0,,0.10552781101529896,11.206835032251595,-2.7257099418510875,,,0,,0
0x4fad40d244ac18b284bf27015252a6705800fb34,$ANIBTC,1.0,6818209.455961918,1,0.9983647530874592,1.0,0.9983647530874592,True,-0.19175933226084574,True,True,10.787790052254831,True,3,0.9996538994000923,,0.13976259791099216,11.146225627307068,-2.7994588983668005,UNKNOWN,LOW,0,,1
0x356a1256e59c4dcc2220b285fde681e85b738c8b,ANGELO,1.0,5279062.825121673,1,0.9974194614512172,1.0,0.9974194614512172,True,-0.18456046666549808,True,True,10.753824593508327,True,3,0.9994231656668204,,0.20035808184619,11.066299754619756,-2.925381660577635,UNKNOWN,LOW,0,,1
0xbbfa2b2c4ee328e53a8a1efae878f05a8d415172,Evie,1.0,2537724.7582485825,1,0.9986977475638992,1.0,0.9986977475638986,True,-0.17487860999259608,True,True,10.71210613415859,True,3,0.9991924319335487,,0.3849867891058637,10.881400728856418,-3.2991695536368213,UNKNOWN,LOW,0,,1
0xa3ebf499c3e800255590eaca9bee4ed0e404b1c9,2026,2.999999704058759,2986505.399744794,3,0.9939744291952958,0.9999999635978584,0.993974367325416,True,-0.16773696197778498,True,True,10.576203209787087,True,3,0.998730964467005,,0.5961366106068257,10.875758904259904,-2.8798754226027166,,,0,,0
0x520d3f17699fb39330b8209c01bbd2c0af157e74,TETH,4.433501740316676,216830746.9659644,14,0.5000008600167095,2.983901778102267e-07,1.0,True,-0.16270175070270654,True,True,9.671585630114713,True,3,0.9981541301338256,0.08673146101606954,-0.10730672419673747,10.341342948098621,-0.8710531919111085,BUG,HIGH,0,1.0,1
0x6bf340db729d82af1f6443a0ea0d79647b1c3ddf,tacBTC,8.771425664400828,2410900.005124384,39,0.969880570857426,0.0002427488235881,1.0,True,-0.1584146189464295,True,True,10.474721519251121,True,3,0.9981541301338256,0.02280418018142073,2.3650567123206074,10.525048338195385,-3.2124087695296306,,,0,,0
0x6418c0dd099a9fda397c766304cdd918233e8847,PENGU,152.01188719423806,1972453.9351784035,216,0.4991807786536847,3.1791279816605965e-08,1.0,True,-0.13700191822423347,True,True,8.698370086293545,True,3,0.9971158283341024,0.048891027149394334,3.047796935905954,8.96899037080336,-1.3993562536606703,NORMAL,HIGH,0,0.0,1
0xbf029b4704893d65568681b6d05f11a607a2e4f6,Imagine,1.6046473592783603,200910.39241468988,17,0.9970029030882182,0.0654033957418209,0.5603213055401196,True,-0.17168694724355693,True,True,7.4301816338893785,True,3,0.9970004614674666,0.07846129361300712,2.1339567702865567,6.432584580043218,-3.973640887156796,,,0,,0
0x7b43e3875440b44613dc3bc08e7763e6da63c8f8,USDR,33.55158572641304,1830482.595128982,134,0.4896949307638258,0.0142054519541304,1.0,True,-0.11984095146775542,True,True,8.775272798093745,True,3,0.9966543608675589,0.0021268701998131798,2.1672992923462147,8.960856334121571,-2.228391884336316,,,0,,0
0xaca92e438df0b2401ff60da7e4337b687a2435da,mUSD,12.304109461967006,42009542.140079096,224,0.1190510759628825,1.256173516505441e-09,1.0,True,-0.12691049039844005,True,True,8.079948031238557,True,3,0.9963082602676512,0.046879226541515995,0.566954786634505,8.638067780884784,-0.6587800725003417,BENIGN,HIGH,0,1.0,1
0x5e1a3de1ac3c30a42acca301a729bfa7f7837bbc,mogsr,15.236552050218314,248554.92590207013,100,0.4009147619894853,3.450596866658344e-07,1.0,True,-0.11536043510035243,True,True,8.58067638697445,True,3,0.9960775265343793,0.07193152619236008,2.0735076999136663,8.16193534611341,-3.5726900798876082,,,0,,0
0x6085ef8f41c6a1006c6689620546b46f0d82f03c,DRL,5.934210525552094,99321.026842064,177,0.0254471128389637,3.37548945939e-05,1.0,True,-0.13342172896300564,True,True,7.611085038137553,True,3,0.9959621596677435,0.12079176316131018,1.4347974502663918,6.735282199793771,-4.0051030080944034,,,0,,0
0x1963a95cfc30e49cc75f7f2de6027289971cac79,WLFI,259.5714318569702,117864976.4271579,285,0.4855115480438099,0.9108423563567838,0.4854413894287122,True,-0.19329338157106102,True,True,6.5176004216005206,True,3,0.9958467928011075,0.01628886549575283,0.9872915885464622,6.113808516272192,2.9565270892775253,NORMAL,HIGH,0,0.0,1
