date,open,high,low,close,volume_btc,volume_usd,log_ret,abs_log_ret
2025-05-20,105618.19,107339.72,104220.59,106875.88,19460.7,2062199314.32,0.011837550915094912,0.011837550915094912
2025-05-21,106875.88,110778.49,106133.62,109699.86,38005.12,4104199576.95,0.026079929931376134,0.026079929931376134
2025-05-22,109699.86,111998.96,109250.4,111722.11,25391.66,2820234493.39,0.018266536328066765,0.018266536328066765
2025-05-23,111722.11,111810.26,106807.62,107332.91,25390.32,2775108378.21,-0.0400793146314557,0.0400793146314557
2025-05-24,107332.91,109512.56,106896.28,107779.46,8974.86,972112098.0,0.004151789517682599,0.004151789517682599
2025-05-25,107779.46,109349.07,106643.02,109041.44,10033.32,1080850082.19,0.011640891177128205,0.011640891177128205
2025-05-26,109041.44,110459.23,108718.82,109461.24,14310.31,1568531304.43,0.003842520526773709,0.003842520526773709
2025-05-27,109461.24,110802.2,107543.83,108975.95,22990.09,2520257081.13,-0.00444329830848925,0.00444329830848925
2025-05-28,108975.95,109328.61,106799.94,107821.11,18610.56,2010518282.08,-0.010653750775702488,0.010653750775702488
2025-05-29,107821.11,108929.95,105327.79,105586.78,24372.04,2610280801.53,-0.02094029086515917,0.02094029086515917
2025-05-30,105586.78,106348.19,103650.43,104039.27,23541.73,2473658024.71,-0.01476475001764362,0.01476475001764362
2025-05-31,104039.27,104959.61,103127.75,104654.65,8552.6,890138427.14,0.005897457708166162,0.005897457708166162
2025-06-01,104654.65,105924.77,103823.88,105702.19,7524.76,788781340.28,0.009959729945741524,0.009959729945741524
2025-06-02,105702.19,105988.22,103708.71,105908.79,15178.71,1589665625.81,0.0019526403180380205,0.0019526403180380205
2025-06-03,105908.79,106888.12,104926.88,105447.66,15596.95,1652394373.05,-0.004363535928773302,0.004363535928773302
2025-06-04,105447.66,106044.55,104206.69,104746.0,12621.93,1327155925.5,-0.00667634415128469,0.00667634415128469
2025-06-05,104746.0,105975.11,100418.61,101580.61,27489.96,2835254363.62,-0.03068570144143307,0.03068570144143307
2025-06-06,101580.61,105426.24,101174.97,104392.54,23040.48,2391698461.05,0.027305546482557553,0.027305546482557553
2025-06-07,104392.54,105974.42,103976.29,105625.23,8589.54,903776492.08,0.011739046233016236,0.011739046233016236
2025-06-08,105625.23,106537.25,105042.03,105779.28,5871.71,621667329.31,0.0014573958452152808,0.0014573958452152808
2025-06-09,105779.28,110543.89,105372.62,110302.12,17851.91,1927020528.87,0.041868487348023974,0.041868487348023974
2025-06-10,110302.12,110403.6,108373.44,110296.2,15646.83,1712252251.27,-5.3672212929106696e-05,5.3672212929106696e-05
2025-06-11,110296.2,110425.64,108096.82,108676.78,14497.2,1585492756.74,-0.014791318317319268,0.014791318317319268
2025-06-12,108676.78,108843.81,105721.73,105726.04,18051.35,1937273976.29,-0.02752693570171926,0.02752693570171926
2025-06-13,105726.04,106224.76,102773.14,106121.08,27266.37,2853509529.91,0.003729486224654906,0.003729486224654906
2025-06-14,106121.08,106260.08,104386.29,105481.13,7543.44,792948934.46,-0.006048632016622071,0.006048632016622071
2025-06-15,105481.13,106189.63,104546.11,105625.23,6583.09,693686973.05,0.0013651888306957438,0.0013651888306957438
2025-06-16,105625.23,109014.33,105016.81,106855.39,17191.01,1846109491.24,0.011579161851545582,0.011579161851545582
2025-06-17,106855.39,107795.31,103378.64,104598.68,22652.14,2383744168.87,-0.021345492992977735,0.021345492992977735
2025-06-18,104598.68,105579.84,103547.15,104927.87,18605.58,1945024806.28,0.003142229668342208,0.003142229668342208
2025-06-19,104927.87,105264.38,103951.44,104699.72,9905.95,1036540458.21,-0.0021767181513000842,0.0021767181513000842
2025-06-20,104699.72,106559.45,102367.77,103313.31,17700.79,1845670588.12,-0.013330227724480765,0.013330227724480765
2025-06-21,103313.31,104021.01,100925.53,102165.68,11217.17,1151399558.13,-0.011170406601878225,0.011170406601878225
2025-06-22,102165.68,103430.09,98264.46,101015.42,30700.21,3086806069.73,-0.011322630783801958,0.011322630783801958
2025-06-23,101015.42,106134.09,99685.07,105423.73,35198.88,3606601777.41,0.04271457462631598,0.04271457462631598
2025-06-24,105423.73,106358.78,104710.65,106133.25,19908.29,2099787246.67,0.006707627044405696,0.006707627044405696
2025-06-25,106133.25,108196.78,105880.48,107399.88,19838.91,2128340951.52,0.011863684629773686,0.011863684629773686
2025-06-26,107399.88,108330.6,106605.5,107012.17,14664.25,1575810932.89,-0.003616498443753262,0.003616498443753262
2025-06-27,107012.17,107793.99,106421.82,107105.16,16821.31,1799885723.45,0.0008685892528767807,0.0008685892528767807
2025-06-28,107105.16,107591.48,106884.15,107346.44,3472.45,372614444.73,0.0022502056576738897,0.0022502056576738897
2025-06-29,107346.44,108538.36,107233.58,108391.87,6094.35,657403121.35,0.009691724970403322,0.009691724970403322
2025-06-30,108391.87,108815.66,106756.38,107169.82,14220.51,1530756559.33,-0.011338407043917734,0.011338407043917734
2025-07-01,107169.82,107574.08,105295.02,105724.18,15730.48,1673173144.76,-0.013581051791191607,0.013581051791191607
2025-07-02,105724.18,109818.47,105143.1,108886.62,19611.45,2124516059.08,0.02947353001882062,0.02947353001882062
2025-07-03,108886.62,110584.4,108579.56,109638.97,16647.63,1825182141.8,0.006885719632228407,0.006885719632228407
2025-07-04,109638.97,109810.02,107283.92,108027.71,10440.09,1130647600.78,-0.014805108720049889,0.014805108720049889
2025-07-05,108027.71,108444.73,107798.16,108244.51,3465.16,374668091.72,0.0020048813723727143,0.0020048813723727143
2025-07-06,108244.51,109728.96,107846.02,109233.93,5651.56,614763572.9,0.00909907967366414,0.00909907967366414
2025-07-07,109233.93,109737.83,107513.97,108277.16,13350.41,1447160434.07,-0.008797493229707099,0.008797493229707099
2025-07-08,108277.16,109248.31,107445.04,108955.05,12122.12,1316408874.89,0.006241175748707206,0.006241175748707206
2025-07-09,108955.05,112077.21,108341.92,111291.7,19761.34,2177951432.55,0.021219270421429175,0.021219270421429175
2025-07-10,111291.7,116848.31,110555.52,116023.34,31905.27,3616719327.76,0.041636695488262376,0.041636695488262376
2025-07-11,116023.34,118890.32,115236.69,117573.92,26050.27,3060911543.15,0.013275864399203885,0.013275864399203885
2025-07-12,117573.92,118239.99,116954.09,117468.16,7395.67,869899617.34,-0.000899924023286318,0.000899924023286318
2025-07-13,117468.16,119503.56,117264.6,119127.66,9553.52,1133368267.75,0.01402837307145988,0.01402837307145988
2025-07-14,119127.66,123220.28,118951.55,119869.01,31361.7,3784774921.45,0.006203872026809082,0.006203872026809082
2025-07-15,119869.01,119958.94,115709.64,117777.9,50123.19,5881848280.87,-0.017598915732506316,0.017598915732506316
2025-07-16,117777.9,120122.22,117043.92,118700.37,27837.68,3310853209.79,0.007801771207497899,0.007801771207497899
2025-07-17,118700.37,121020.95,117485.98,119282.74,25218.52,3000532789.4,0.004894222640243302,0.004894222640243302
2025-07-18,119282.74,120911.16,116902.92,118025.92,26111.51,3096339405.33,-0.010592379992279936,0.010592379992279936
2025-07-19,118025.92,118572.53,117339.41,117913.27,6706.12,791893576.81,-0.000954907139928375,0.000954907139928375
2025-07-20,117913.27,118903.91,116533.22,117328.61,9166.19,1081488186.29,-0.00497072378284917,0.00497072378284917
2025-07-21,117328.61,119712.2,116581.7,117441.75,18543.72,2187836280.67,0.0009638355434538632,0.0009638355434538632
2025-07-22,117441.75,120298.65,116186.23,120023.5,21981.53,2607540535.18,0.021745090961193828,0.021745090961193828
2025-07-23,120023.5,120167.5,117361.89,118808.78,17163.7,2029832616.05,-0.010172247020978402,0.010172247020978402
2025-07-24,118808.78,119555.88,117214.42,118397.33,17930.71,2128340080.84,-0.0034691384015974516,0.0034691384015974516
2025-07-25,118397.33,118523.27,114756.37,117644.11,47767.94,5546818211.88,-0.006382121348225381,0.006382121348225381
2025-07-26,117644.11,118355.11,117143.68,117971.27,10959.83,1291296798.52,0.0027770700729131733,0.0027770700729131733
2025-07-27,117971.27,119808.28,117872.15,119468.71,10341.68,1228024808.19,0.012613375836393308,0.012613375836393308
2025-07-28,119468.71,119835.44,117403.28,118059.92,18092.6,2142740462.44,-0.011862203890275048,0.011862203890275048
2025-07-29,118059.92,119285.96,116933.73,117942.11,17580.06,2073820445.19,-0.000998381325666878,0.000998381325666878
2025-07-30,117942.11,118800.1,115769.47,117853.3,18335.33,2153325010.48,-0.0007532801779259126,0.0007532801779259126
2025-07-31,117853.3,118927.15,115493.77,115765.36,16934.89,1991848800.07,-0.01787524674064931,0.01787524674064931
2025-08-01,115765.36,116060.68,112682.82,113263.48,33588.86,3851719228.71,-0.02184859796916149,0.02184859796916149
2025-08-02,113263.48,114033.98,112006.36,112546.32,12452.57,1407609649.0,-0.006351915738463341,0.006351915738463341
2025-08-03,112546.32,114803.51,111925.95,114238.83,8326.85,947196437.08,0.014926386703291758,0.014926386703291758
2025-08-04,114238.83,115744.56,114140.41,115065.9,14470.62,1662390456.96,0.007213750772605032,0.007213750772605032
2025-08-05,115065.9,115111.39,112629.49,114127.63,16922.91,1925704360.18,-0.00818762415829195,0.00818762415829195
2025-08-06,114127.63,115748.22,113364.73,115038.45,14480.66,1659630182.7,0.007949036751055101,0.007949036751055101
2025-08-07,115038.45,117690.87,114288.63,117522.28,16359.62,1904030478.64,0.021361512322896802,0.021361512322896802
2025-08-08,117522.28,117698.38,115895.35,116692.86,14582.39,1702088353.29,-0.00708257772895166,0.00708257772895166
2025-08-09,116692.86,117940.29,116360.05,116501.28,7930.51,926558904.04,-0.001643094831642718,0.001643094831642718
2025-08-10,116501.28,119320.76,116496.35,119311.7,10554.12,1248946431.14,0.023837136312432068,0.023837136312432068
2025-08-11,119311.7,122309.71,118106.91,118714.58,25659.91,3086540255.03,-0.005017271644195677,0.005017271644195677
2025-08-12,118714.58,120325.99,118214.28,120128.24,18213.63,2172908089.75,0.011837714092890594,0.011837714092890594
2025-08-13,120128.24,123735.38,118948.18,123374.56,27352.96,3321096939.91,0.026665092553583163,0.026665092553583163
2025-08-14,123374.56,124532.7,117241.12,118391.59,35491.88,4249355541.57,-0.04122724186284969,0.04122724186284969
2025-08-15,118391.59,119335.93,116865.92,117440.09,19724.55,2327158152.31,-0.008069358307035548,0.008069358307035548
2025-08-16,117440.09,118000.57,117242.73,117469.52,6405.98,753827490.14,0.0002505644631053932,0.0002505644631053932
2025-08-17,117469.52,118639.81,117268.69,117488.0,6706.31,791200441.51,0.0001573050314635928,0.0001573050314635928
2025-08-18,117488.0,117627.66,114716.49,116292.15,22732.79,2634618667.75,-0.010230641313105363,0.010230641313105363
