token_symbol,token_address,taxonomy,actually_fraud,confidence,consensus_votes,suspicion_score,p_fraud,p_fraud_loo
SHRUB,0x5bad3b350252b52bc26515e0603c52c0c699a7ad,NORMAL,No,LOW,0,0.932,0.084,0.085
AP,0xe60e9bd04ccc0a394f1fdf29874e35a773cb07f4,NORMAL,No,LOW,1,0.932,0.017,0.017
KIYO,0x324b0f2fd9ba0464deabd17cdd5bb740a401b4e6,NORMAL,No,LOW,1,0.931,0.46,0.466
ZKDEX,0x3e1cb590505a44741663ed343b6b6635aaf88160,NORMAL,No,LOW,0,0.925,0.171,0.175
BTCBULL,0x8ee5cfb455b3ba5cb0bb5ad91cd6fc40ac73b25c,NORMAL,No,HIGH,0,0.922,0.076,0.077
osETH,0xf1c9acdc66974dfb6decb12aa385b9cd01190e38,BENIGN,No,HIGH,1,0.922,0.096,0.1
AGW,0xc653bf6c1ac372ab520383561468b9e73a59b337,NORMAL,No,MEDIUM,0,0.921,0.476,0.481
VULT,0xb788144df611029c60b859df47e79b7726c4deba,NORMAL,No,MEDIUM,0,0.914,0.09,0.091
PLASMA,0x3d3097cd94fec5dc823e5025a59438e63757dc79,FRAUD,Yes,HIGH,0,0.913,0.815,0.812
USDL,0xbdc7c08592ee4aa51d06c27ee23d5087d65adbcd,BENIGN,No,HIGH,1,0.911,0.057,0.057
TRU,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,NORMAL,No,HIGH,1,0.909,0.053,0.054
ETHx,0xa35b1b31ce002fbf2058d22f30f95d405200a15b,BENIGN,No,HIGH,1,0.909,0.067,0.069
PNKSTR,0xc50673edb3a7b94e8cad8a7d4e0cd68864e33edf,NORMAL,No,MEDIUM,0,0.906,0.081,0.081
YJM,0x27bc53596dc0ea71de3c65c799d8e6c96c1dda98,FRAUD,Yes,HIGH,0,0.896,0.849,0.844
GCY,0x82595bf4076033b54e23e10e1d763b5e14e5984b,NORMAL,No,LOW,0,0.891,0.524,0.529
PROJECT89,0x6907ad44fa86ffb35a7e078e8b58638e69398cbb,NORMAL,No,MEDIUM,0,0.889,0.138,0.142
YANG,0xd58834528ba950ed2911feab3b8027e297baef9f,NORMAL,No,MEDIUM,0,0.887,0.42,0.424
CZI,0x2615e47a9372ba141128c585b63eb6418a91d017,FRAUD,Yes,HIGH,0,0.88,0.56,0.524
TRIFI,0x98ebcc799fcb69969adfb376bc16b345a8e61c95,NORMAL,No,LOW,0,0.878,0.569,0.574
wstUSR,0x1202f5c7b4b9e47a1a484e8b270be34dbbc75055,HACK,No,HIGH,0,0.877,0.04,0.041
CULTB,0xdb179bb6f5516e2bf6069848462df6239f5428fd,NORMAL,No,LOW,0,0.876,,0.572
DEON,0x2cf79c91a67ec833f0ac2060e54481a6db9ded4a,NORMAL,No,LOW,0,0.875,,0.579
